	CTC1	CTC10	CTC11	CTC12	CTC13	CTC14	CTC15	CTC16	CTC2	CTC3	CTC4	CTC5	CTC6	CTC7	CTC8	CTC9	NP1	NP10	NP11	NP12	NP13	NP14	NP15	NP17	NP18	NP19	NP2	NP20	NP21	NP22	NP23	NP24	NP25	NP26	NP27	NP28	NP29	NP3	NP30	NP31	NP32	NP34	NP35	NP36	NP37	NP38	NP39	NP4	NP40	NP41	NP42	NP43	NP44	NP5	NP6	NP7	NP8	NP9	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99
ASV_1	0	634	1325	300	284	1245	1112	527	1048	458	259	946	514	41	1050	390	1558	929669	1100684	396	1456	24561	942	0	10	0	1123693	127	6	0	0	0	5	14	2285	0	53	1659	112	0	9	78	960	0	214	7822	1056	129	0	107	314	4585	0	1277482	2681	6757	651278	189	80103	6484	4225	38069	66240	75266	48473	74758	72469	78357	71181	198	1333	13451	42	839	575	133	236	144	72	134788	53487	131551	189144	87	169419	139133	81705	156	694	219	211	380	236	318	154447	0	130	2733	1940	397	197	638	48	2774	129848	162905	130723	0	91557	140270	86309	124644	103213	356	141	1003	6543	3376	834382	536	137440	138967	116848	112958	117365	149619	148	126150	90336	42	156	222	77	0	231	5593	39560	49768	30171	13927	51349	49987	62612	6537	6989	5371	47	6076	6775	3261	17043	7767	7249	5857	1024	54870	14999	26526	15	5069	11653	9529	22620	719	2660	73685	44101	35148	79926	29754	17	544	65712	52842	66206	43572	48141	57734	66020	3418	71131	69395	28	600	0	9261	201	28	0	7	8704	456	0	1441	0	514	81460	66992	201	60	63305	75715	56953	77855	87806	77843	18	12	55	8214	3758	69073	380	198	10802	9969	44794
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	362	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	0	341	546	0	162	387	0	6872	331244	311071	0	64	559471	451356	590414	10033	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	217	0	0	0	0	164	0	0	0	0	0	0	0	0	817	0	416	553	349	173	0	500	341830	291726	204324	0	66	351262	162886	239635	623801	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	303440	17734	229760	17948	47113	29332	217974	64	40006	33408	26787	17118	480510	336	0	42039	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	27	0	0	0	0	0	14	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53678	0	66	0	32	278	0	0	73	0	0	221	75290	0	737	0	0	0	0	364	269	153	350	0	0	0	0	0	0	0	53	0	0	0	22952	17	16	0	97	118	10	23	3440	9	14	4638	9890	3403	4409	585	966	33629	6197	8028	9182	9893	0	0	0	63	58	12	19	453	83	137	128	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	349	9839	211	721	82618	610	17640	0	340197	124287	369	414015	330	615	0	6836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	7	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67679	362	0	347	90	0	278	0	0	0	0	0	92	62343	34	0	343	0	0	0	46	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	14	21580	22277	4847	6628	26	43	26741	88	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	890	6832	19274	7355	37734	477	1904	0	151	7535	7317	140	67639	306	0	1533	684	0	749	0	1043	0	0	0	0	0	1142	0	0	0	0	0	5	0	11	0	0	79	0	0	0	0	377	0	446821	48547	41872	0	0	12818	49647	79065	76897	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	64	0	781	76	98	0	14	0	0	0	0	0	0	0	0	42	0	37247	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2046	121	358	41	71	774	193	186	1496	166	0	1965	2632	2774	4836	3535	10902	10871	14782	5727	30412	38578	0	0	0	43	84	65	176	137	205	273	528	610	0	3	0	0	0	0	0	0	0	10496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	77690	25473	322549	32683	75947	7580	89722	0	69897	55490	4986	1045	255555	1004	0	23043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	42	0	0	0	0	0	0	0	0	0	33	0	38	0	0	0	35	235	124	0	345	174	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	9	0	0	0	0	0	7054	8093	2617	5475	1134	11	3628	574	23	0	0	0	0	0	47	85	18	0	40	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	62	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	111	0	35	59	58	143	582664	25	0	76	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	3991	0	0	31171	0	7308	0	124921	46348	0	150860	0	0	0	2950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25690	0	0	0	0	0	0	0	0	0	0	0	0	22636	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	11	0	11183	10703	2365	2890	0	0	13532	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	368	1504	13155	1256	19725	428	741	0	2773	321783	763	9040	1190	3479	0	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
