	CTC1	CTC10	CTC11	CTC12	CTC13	CTC14	CTC15	CTC16	CTC2	CTC3	CTC4	CTC5	CTC6	CTC7	CTC8	CTC9	NP1	NP10	NP11	NP12	NP13	NP14	NP15	NP17	NP18	NP19	NP2	NP20	NP21	NP22	NP23	NP24	NP25	NP26	NP27	NP28	NP29	NP3	NP30	NP31	NP32	NP34	NP35	NP36	NP37	NP38	NP39	NP4	NP40	NP41	NP42	NP43	NP44	NP5	NP6	NP7	NP8	NP9	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99
ASV_1	0	0.645456859251718	0.187359392078869	0.325182101977107	0.0532629162571924	2.47170935080405	0.204970535485524	89.17089678511	0.151978548981903	0.0549384641220641	0.469389974265106	0.143016530050101	0.0565177376631345	0.0749638893459858	88.9077053344623	0.3591259427056	47.1692400847714	90.9109488908338	91.0628538902696	22.6544622425629	29.1491491491491	93.1752655538695	21.1923509561305	0	1.92678227360308	0	90.5925679287251	9.8297213622291	0.373366521468575	0	0	0	50	29.1666666666667	97.8586723768737	0	2.59549461312439	83.4927025666834	10.1357466063348	0	1.931330472103	14.0287769784173	0.148259800590568	0	0.0222254533369337	0.995803925163209	0.178677784395473	100	0	0.0109662270951899	0.0452990676182356	0.472213067479608	0	92.1539956443549	46.0336538461538	86.4508700102354	91.3396229325876	14.2641509433962	99.5315606361829	67.4994794919842	95.5882352941177	48.8577735568161	99.6000360869696	97.9975001302016	99.5788651957763	99.5075071877329	99.6548404840484	99.9336810825288	99.6514069718606	1.8812351543943	2.72764477184367	69.9516355504706	100	100	72.3270440251572	88.6666666666667	81.3793103448276	100	37.1134020618557	86.9555119735756	88.8208040651622	87.6048853253776	97.663539337736	100	97.3314413089438	87.3265338145301	88.7914452450038	100	100	82.9545454545455	0.143250913139707	95	100	76.9975786924939	86.9203322677952	0	100	95.0608695652174	97.9303382130237	80.3643724696356	0.191475919716188	25.5302120848339	0.0627172237175634	3.62330198537095	88.7388434044531	88.474740123611	86.6030673424095	0	86.8217421814251	87.5691401031327	87.6892284558958	86.2940577813779	99.8713060979622	0.376357158714888	0.132059567294184	100	11.2362830794594	97.1790443293034	95.5241002063017	100	88.1986780465892	97.3519583598955	88.2304526748971	86.8059664789014	88.9054699987122	97.8765577470317	100	96.9474800571771	97.6753238327963	100	100	100	59.2307692307692	0	77.5167785234899	98.5550660792951	60.2305080616921	88.8444579324134	47.0833333333333	29.1542809294536	87.0720499211504	82.3929848851967	98.9584485783376	95.6121105748135	12.0234654555464	94.2942415730337	7.99319727891157	12.051968660121	12.7416685473558	16.5440616914413	31.1054735266741	49.4524385585127	35.1415551677332	10.3808865493345	3.31337971202071	79.1614969558819	26.2477250454991	33.7334995040313	0.741839762611276	96.2407442566926	67.315579689215	54.836853311849	73.4129559911723	6.43227768831634	23.794614902943	98.5475652325099	98.1876878548369	96.1931087331345	98.5840096701779	90.3415819037498	0.346443855716324	99.4515539305302	96.7690631166613	98.7350286814029	98.7839632354038	83.2146062909417	97.5956372777586	96.574219664782	96.0011632979497	20.8465479385216	98.4130717507402	98.8096424655779	0.387382401770891	100	0	47.9869423286181	2.32450560888169	0.645458736745044	0	0.123217743355043	74.5014123084824	3.36630739701757	0	6.87139382957417	0	99.6124031007752	99.1311120305693	99.2635836951207	5.43684068163376	0.878091614225084	99.6583860709675	99.6381102776681	99.038361214482	97.7979600040197	98.7038973010038	98.0649794026128	0.3690036900369	70.5882352941177	0.598216227974766	71.3764337851929	59.955328653478	99.0862143164539	7.47737111373475	3.44647519582245	73.9255406515193	74.069395943235	71.2270826376632
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13201820940819	8.14398200224972	0	0	0	0	0	0	0	0	0	0	0	0	0	49.8530852105779	0	30.8597285067873	47.1502590673575	0	29.136690647482	0.0597672321130728	0	0.71370708098789	42.1700428773667	52.6339744978071	0	49.2307692307692	57.3391218614299	65.1146686748292	60.8072423168823	1.27570352512753	0	0	7.53582395087001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56297420333839	4.88188976377953	0	0	0	0	12.6934984520124	0	0	0	0	0	0	0	0	40.0097943192948	0	37.6470588235294	47.7547495682211	74.892703862661	31.1151079136691	0	71.1237553342816	35.5015267017012	37.1390815484738	34.572120851156	0	50.7692307692308	36.0001762795384	23.4986749301399	24.6802133970503	79.3167681329692	0	0	2.29017400204708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147787295766168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	52.3724130074958	18.0544667854416	32.4888256030498	19.4545612209504	8.83583018882079	58.2330752432003	40.1782801276273	10.82910321489	5.80157808260498	4.00738910347144	48.5465221646308	2.58790376469094	52.8352881799859	0.614338215128079	0	38.7110141164121	0	0	0	0	0	0	0	0	0	0	0	0	0	3.87596899224806	0	0	0	0	1.15631691648822	0	0	0	0	0	3.00429184549356	0	0	2.98719772403983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51572327044025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.1361486398202	0	0.0451047660702814	0	0.0211997747523933	100	0	0	0.0741673947940585	0	0	0.233637449651658	70.5160625643908	0	1.26564888118013	0	0	0	0	0.254996602380435	0.203118510967644	0.117577443574354	0.265129421033096	0	0	0	0	0	0	0	40.7692307692308	0	0	0	34.9446567500495	0.0303479300926504	0.0249687890137328	0	0.164482051108134	0.194498013812656	0.0158050291602788	0.336404855930964	5.91797412606661	0.158005617977528	2.38095238095238	9.19964296340375	18.6000150455127	17.2644716148344	8.04694201602453	3.72469120081498	4.68295520651542	59.603693660162	20.0517715580003	11.5820757711285	16.0681786364273	12.5810718010021	0	0	0	0.36254819589112	0.188238348695314	0.107353730542136	0.169961535021022	0.60584986157735	0.184793498831125	0.374941842962314	0.157880454893061	0.397753150144223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0.060235869165621	10.0167981674726	0.0298360994178426	0.781520985084981	15.4946324483687	1.21103831645821	3.25151101255813	0	49.3345862862562	14.9085958304345	0.668744789590054	62.5908971339245	0.0362857070599891	1.12445834018979	0	6.29483319060379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59651669085631	0.282942603071948	0	70.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107431749241658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.7812120328522	14.4857943177271	0	0.453239289446186	0.0615064991867474	0	0.184173043161416	0	0	0	0	0	0.0890213457705185	65.9079616453997	0.0318441509787393	0	0.589033332760901	0	0	0	0.029519348007444	0	0	0	0.128019634727409	0	0	0	0	0	0	0	0	0	0	0	0	0.0249924130174768	33.6766541822722	46.6338706301026	8.2190154816611	10.9248545385617	0.0410930758167249	0.628930817610063	46.0036471235893	1.54494382022472	0	0.0277695130417534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0.153610096153016	6.95545940442861	2.72540748900236	7.97238120013874	7.07684113397499	0.946992257296009	0.350956744212624	0	0.0218976726109422	0.903845692488544	13.260719852115	0.0211652370053004	7.43736042372909	0.559486588777357	0	1.41164120555816	20.708446866485	0	0.0619669928551809	0	20.8808808808809	0	0	0	0	0	0.0920684854089187	0	0	0	0	0	50	0	0.471092077087794	0	0	3.97584297936588	0	0	0	0	0.0582228591902544	0	46.4056041376732	6.18042612565818	7.08484487519627	0	0	1.31369251314154	7.16230194281065	8.14297190409492	9.77751160886393	0	0	0	0.0563791935531374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03478260869565	0	12.9554655870445	0	31.2525010004002	0.0993022708861421	0.128004179728318	0	0.00760348891519937	0	0	0	0	0	0	0	0	0.0393368923855015	0	63.9642115024643	2.8209556706966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.475770925110132	3.11505610450511	0.216005855365336	0.558676654182272	0.0858279254762403	0.12039407864616	1.27577510755081	0.305037062793381	2.72049144361562	2.57363060831269	2.91432584269663	0	3.89764950907468	4.94997367035282	14.0733600527624	8.82626708766038	22.5073220425315	52.8504944735311	19.2676485705677	47.8304481475489	8.26240009233344	53.219935601288	49.0602029656383	0	0	0	0.24745353052886	0.272621056731144	0.581499373769905	1.57438053493157	0.183226117077477	0.456417677835912	0.747146884151181	0.651256876433875	1.85213298922119	0	0.548446069469835	0	0	0	0	0	0	0	64.015613564284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	13.4089532248627	25.9333163654874	45.6094977778469	35.426422129726	14.243516552764	15.0486400635299	16.5380992669354	0	10.1363021356757	6.6561907732169	9.03621008372902	0.157983376218135	28.0999814173197	1.83570109520414	0	21.2188181993978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342612419700214	0	0	0	0	0	4.72103004291846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38364779874214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054877570752868	0	0.0287030329538155	0	0	0	0	0	0	0	0	0	0.0309075583028941	0	0.0652573371571843	0	0	0	0.0224603734839248	0.164626927360995	0.0936308377694718	0	0.26134185787548	0.113825924835639	0	0	0	0	0	0	0	0	0	0	0	0.0142813788671296	0.00936329588014981	0	0	0.0148345942738466	0	0	0	0	0	13.9918674997521	15.2204167607011	13.2768504895743	9.99251701921848	7.22017063542595	0.0533255768857863	6.43022987894578	1.85730464326161	0.0331823296880861	0	0	0	0	0	0.270472463601312	0.275866545501753	0.161030595813205	0	0.0534966765189713	0.0222642769676055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0.00876700551614331	0	0.0363838230770962	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194422474245227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.5882352941177	5.435847208619	0	3.16742081447964	5.09499136442142	12.4463519313305	25.7194244604317	89.9850504701071	3.55618776671408	0	0.00967541527900842	0	0	0	0	0	0.0296613660706929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	4.06312038686689	0	0	5.84598015018642	0	1.34705456234551	0	18.1157560280232	5.5595806443874	0	22.8070546758544	0	0	0	2.71646546405518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9696262817709	0	0	0	0	0	0	0	0	0	0	0	0	23.9303950692983	0	0	0	0	0.0124788489234989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299559471365639	0.0167476134650812	0	17.4516229712859	22.4052752773707	4.01030980279111	4.76355305015741	0	0	23.279658684283	0.737359550561798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0.0635151858250674	1.53117841689997	1.86016060588492	1.36142906694416	3.69933458863774	0.849712130236252	0.136585581649976	0	0.402134080464521	38.5988292589305	1.38279749175396	1.36666958948511	0.130848458792082	6.36096026913865	0	0.73114358591858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.606305578011318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103877643070951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0365783225309632	0	0	0	0	0	0	0	0	0	0	0	0	0	17.1140939597315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
